@relation removedFeaturescleanedleaf-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.8-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P60.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P45.5-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P33.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P23.1-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P14.3-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P6.7-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute Eccentricity numeric
@attribute Asp_Ratio numeric
@attribute Elongation numeric
@attribute Solidity numeric
@attribute Isop_Factor numeric
@attribute Max_Ind_Depth numeric
@attribute Ave_Contrast numeric
@attribute Entropy numeric
@attribute Class(Species) {SP_1,SP_2,SP_3,SP_4,SP_5,SP_6,SP_7,SP_8,SP_9,SP_10,SP_11,SP_12,SP_13,SP_14,SP_15,SP_22,SP_23,SP_24,SP_25,SP_26,SP_27,SP_28,SP_29,SP_30,SP_31,SP_32,SP_33,SP_34,SP_35,SP_36}

@data
0.36935,0.00427,0.461349,0.891961,0.239046,0.104485,0.562602,0.874168,SP_15
0.298275,0.002438,0.178414,0.901825,0.673972,0.242811,0.891386,0.979701,SP_10
0.377424,0.009217,0.323846,0.831011,0.626243,0.24645,0.618464,0.839791,SP_10
0.390028,0.00721,0.144446,0.924802,0.812999,0.180732,0.755856,0.715687,SP_10
0.871772,0.066345,0.526114,0.985189,0.65661,0.004709,0.36854,0.265177,SP_32
0.683858,0.03119,0.313156,0.96481,0.888803,0.056788,0.644496,0.772597,SP_33
0.065396,0.002731,0.776967,0.891961,0.095992,0.104485,0.614781,0.753158,SP_36
0.853873,0.062175,0.513423,0.938413,0.732118,0.127776,0.256889,0.219645,SP_22
0.572247,0.012661,0.389132,0.873868,0.612633,0.097167,0.153114,0.03691,SP_23
0.23215,0.009517,0.254422,0.850804,0.652506,0.219719,0.455971,0.592927,SP_10
0.364982,0.011282,0.181931,0.883734,0.498918,0.07925,0.566499,0.671518,SP_30
0.602237,0.021374,0.363981,0.81046,0.552132,0.121852,0.472584,0.39959,SP_9
0.996017,0.036911,0.951182,0.821369,0.112146,0.117927,0.133231,0.166283,SP_34
0.848848,0.048454,0.609922,0.913604,0.323672,0.225159,0.332606,0.33248,SP_5
0.823554,0.044744,0.521571,0.913604,0.533473,0.181869,0.447442,0.522075,SP_7
0.458256,0.008492,0.667353,0.891961,0.243898,0.106836,0.141643,0.175697,SP_6
0.605016,0.012689,0.407099,0.833612,0.638079,0.097167,0.104226,0.036348,SP_23
0.940213,0.036027,0.714248,0.937528,0.485178,0.166192,0.394693,0.448742,SP_28
0.99637,0.036911,0.957168,0.781034,0.12477,0.238899,0.138378,0.094971,SP_31
0.898936,0.085475,0.595807,0.96494,0.654188,0.021441,0.549847,0.796184,SP_35
0.925728,0.036027,0.694789,0.929247,0.516866,0.101036,0.574769,0.493127,SP_28
0.904391,0.08133,0.593944,0.940813,0.624718,0.050859,0.618865,0.650756,SP_35
0.395654,0.011807,0.194284,0.902535,0.75356,0.053458,0.285515,0.155595,SP_9
0.244388,0.006333,0.19878,0.886642,0.53859,0.109907,0.547323,0.912607,SP_30
0.996597,0.036911,0.949746,0.828163,0.114062,0.117009,0.22652,0.223835,SP_34
0.987196,0.036911,0.880158,0.950052,0.261901,0.132622,0.328134,0.342701,SP_8
0.589499,0.023293,0.228551,0.962273,0.905628,0.05378,0.206471,0.29286,SP_24
0.325669,0.004986,0.655835,0.891961,0.126604,0.124751,0.256355,0.257741,SP_11
0.856947,0.065325,0.549059,0.893409,0.574177,0.212913,0.440005,0.522823,SP_12
0.653338,0.011458,0.711158,0.891961,0.209706,0.119119,0.179748,0.228762,SP_6
0.809648,0.045105,0.415496,0.977419,0.888302,0.016157,0.029107,0.065992,SP_1
0.909043,0.084192,0.605272,0.970141,0.707881,0.011282,0.196504,0.215718,SP_2
0.037181,0.002729,0.796593,0.891961,0.11596,0.104485,0.594939,0.71998,SP_36
0.411987,0.010848,0.190739,0.904719,0.568124,0.101668,0.463894,0.471624,SP_30
0.995928,0.036911,0.949211,0.857334,0.129567,0.07041,0.154599,0.214934,SP_34
0.708517,0.028789,0.301583,0.975688,0.92371,0.012266,0.230647,0.207629,SP_1
0.546893,0.006022,0.845637,0.891961,0.052569,0.124751,0.535285,0.420288,SP_36
0.648458,0.02403,0.264354,0.978953,0.905794,0.021636,0.561915,0.536371,SP_33
0.76768,0.029044,0.382715,0.949134,0.915271,0.069997,0.34065,0.492537,SP_27
0.803602,0.037917,0.436716,0.956038,0.803099,0.083192,0.286404,0.198362,SP_26
0.465456,0.001958,0.486494,0.913604,0.332738,0.124751,0.196576,0.305069,SP_6
0.886595,0.080297,0.573415,0.986939,0.709724,0.02464,0.515395,0.677546,SP_35
0.759593,0.037429,0.364231,0.966522,0.885148,0.054488,0.173484,0.103529,SP_32
0.592777,0.019666,0.215099,0.987215,0.952666,0.007114,0.504113,0.652987,SP_13
0.619296,0.011086,0.259275,0.912744,0.873529,0.053795,0.257596,0.143634,SP_3
0.8002,0.049636,0.43844,0.943292,0.793917,0.113129,0,0.049474,SP_29
0.622064,0.019693,0.190822,0.991365,0.881852,0.011943,0.165634,0.178713,SP_27
0.996134,0.036911,0.956243,0.85239,0.109607,0.091153,0.156548,0.179162,SP_34
0.44422,0.00372,0.625909,0.891961,0.182129,0.124751,0.18685,0.181929,SP_6
0.43018,0.009794,0.143851,0.907532,0.651147,0.073877,0.380222,0.385767,SP_30
0.315074,0.006673,0.010384,0.975553,0.892735,0.036332,0.267862,0.341724,SP_26
0.841498,0.053557,0.483782,0.961034,0.770501,0.020407,0.424685,0.332638,SP_14
0.99806,0.036911,0.971013,0.891579,0.106022,0.122892,0.098616,0.055413,SP_31
0.906866,0.092311,0.625278,0.977183,0.561455,0.074581,0.596556,0.71033,SP_35
0.506063,0.010326,0.4358,0.913604,0.345652,0.097167,0.589402,0.913276,SP_15
0.619101,0.021161,0.229911,0.926657,0.702648,0.036642,0.235048,0.327776,SP_4
0.713247,0.026959,0.277794,0.97852,0.965016,0.013918,0.012514,0.031846,SP_1
0.542962,0.00373,0.276198,0.851397,0.753243,0.131621,0.499413,0.293201,SP_3
0.359181,0.015077,0.3303,0.861999,0.534637,0.172672,0.542596,0.550916,SP_9
0.444664,0.00428,0.4805,0.90575,0.234874,0.104485,0.590055,0.961727,SP_15
0.498145,0.013587,0.157173,0.973092,0.94351,0.022801,0.589806,0.322626,SP_26
0.585289,0.004458,0.302811,0.850554,0.734893,0.131936,0.541911,0.341202,SP_3
0.664281,0.011275,0.303974,0.856842,0.676051,0.105843,0.676913,0.538655,SP_3
0.994907,0.036911,0.955812,0.913604,0.12663,0.094094,0.188286,0.085645,SP_31
0.679026,0.020753,0.32159,0.914377,0.773296,0.113389,0.802017,0.525029,SP_25
0.832819,0.055566,0.452492,0.97206,0.868003,0.013148,0.295601,0.553859,SP_2
0.392909,0.002651,0.73115,0.891961,0.156472,0.124751,0.081162,0.142803,SP_6
0.825062,0.041015,0.483029,0.851734,0.695675,0.111244,0.324313,0.378955,SP_7
0.766318,0.033946,0.391583,0.97001,0.91222,0.020261,0.171507,0.122119,SP_1
0.645361,0.008685,0.318378,0.847578,0.683502,0.140216,0.546353,0.359222,SP_3
0.40171,0.007115,0.837344,0.891961,0.020013,0.104485,0.716284,0.560002,SP_36
0.875703,0.069118,0.515718,0.933709,0.656981,0.108245,0.324882,0.220155,SP_22
0.905607,0.092783,0.619711,0.940852,0.616022,0.08283,0.668587,0.709228,SP_28
0.907853,0.094213,0.63433,0.921534,0.44491,0.104485,0.353948,0.330944,SP_22
0.90276,0.080327,0.598718,0.952615,0.620331,0.034461,0.621213,0.598047,SP_14
0.639282,0.009983,0.808631,0.891961,0.079399,0.097167,0.610744,0.664566,SP_36
0.999183,0.036911,0.986119,0.921534,0.055072,0.149521,0.08655,0.132472,SP_34
0.88257,0.076583,0.56307,0.988355,0.718089,0.025268,0.508034,0.487811,SP_35
0.18552,0.004342,0.76788,0.891961,0.075,0.104485,0.747327,0.880824,SP_36
0.885859,0.077587,0.575405,0.878007,0.556454,0.135419,0.490612,0.243972,SP_22
0.985493,0.036911,0.869756,0.933889,0.262988,0.113017,0.191815,0.188646,SP_8
0.768883,0.038766,0.372058,0.982081,0.878184,0.023514,0.455931,0.471348,SP_33
0.174847,0.004958,0.681717,0.891961,0.067331,0.124751,0.15953,0.249939,SP_11
0.984302,0.036911,0.866711,0.943626,0.277915,0.111299,0.257402,0.268146,SP_8
0.448476,0.005823,0.652588,0.891961,0.115794,0.124751,0.112464,0.189595,SP_11
0.654356,0.024823,0.258061,0.977871,0.918349,0.018098,0.533984,0.541294,SP_33
0.348634,0.008726,0.161083,0.896266,0.646703,0.111184,0.296342,0.243941,SP_30
0.388753,0.00762,0.084299,0.945106,0.953555,0.034857,0.300855,0.445099,SP_4
0.401799,0.002252,0.795276,0.891961,0.173533,0.116702,0.61304,0.524468,SP_36
0.984472,0.036911,0.866521,0.965381,0.304038,0.103921,0.295863,0.33441,SP_8
0.9031,0.086449,0.599764,0.976219,0.672948,0.01983,0.64203,0.591036,SP_28
0.265792,0.007553,0.160622,0.886898,0.51307,0.086082,0.624608,0.682328,SP_30
0.882286,0.057832,0.64425,0.913604,0.35241,0.240225,0.351442,0.365011,SP_5
0.435908,0,0.223996,0.846515,0.720602,0.09659,0.510863,0.347249,SP_3
0.877944,0.096215,0.631696,0.97851,0.670853,0.043677,0.219276,0.29311,SP_2
0.911641,0.106104,0.655193,0.950294,0.570176,0.044613,0.545706,0.421882,SP_28
0.811758,0.05517,0.468593,0.9249,0.758946,0.130443,0.071412,0.061545,SP_29
0.402516,0.004631,0.887895,0.891961,0,0.124751,0.624123,0.54858,SP_36
0.773737,0.035954,0.358712,0.99166,0.944651,0.010504,0.232798,0.322532,SP_27
0.316437,0.008768,0.221879,0.895277,0.603018,0.11424,0.350553,0.521799,SP_30
0.509182,0.002002,0.292091,0.79736,0.695454,0.153635,0.292953,0.180107,SP_3
0.660682,0.011271,0.31382,0.852337,0.679684,0.110194,0.659913,0.501643,SP_3
0.62609,0.014891,0.239268,0.987844,1,0.010316,0.245866,0.342011,SP_27
0.823705,0.043953,0.532694,0.921116,0.572313,0.163738,0.375459,0.464296,SP_7
0.314463,0.006239,0.077445,0.949212,0.840994,0.049262,0.41943,0.677366,SP_4
0.37628,0.000288,0.621472,0.891961,0.107073,0.124751,0.224233,0.271986,SP_11
0.916643,0.093637,0.628145,0.87423,0.547105,0.193075,0.49518,0.340948,SP_22
0.888677,0.075088,0.584911,0.880247,0.414952,0.128458,0.338492,0.192053,SP_22
0.910677,0.092073,0.62234,0.970613,0.643311,0.038107,0.664666,0.809224,SP_28
0.770142,0.038089,0.388068,0.976258,0.886751,0.025301,0.098696,0.129223,SP_1
0.986314,0.036911,0.873178,0.930634,0.308451,0.133937,0.3432,0.337873,SP_8
0.490191,0.010321,0.42584,0.913604,0.322164,0.098093,0.589417,0.912667,SP_15
0.300523,0.00188,0.692838,0.891961,0.068319,0.124751,0.242111,0.268024,SP_11
0.408561,0.011364,0.684905,0.913604,0.205934,0.124751,0.19082,0.290505,SP_6
0.329945,0.009204,0.080023,0.956094,0.925632,0.044689,0.401518,0.602278,SP_4
0.696188,0.028944,0.42456,0.921534,0.523381,0.160355,0.276865,0.235264,SP_9
0.565387,0.008747,0.442407,0.840419,0.43917,0.104485,0.19015,0.118107,SP_23
0.826549,0.055381,0.465905,0.944865,0.734965,0.087408,0.011213,0.022083,SP_29
0.751721,0.034102,0.338527,0.982769,0.93588,0.011533,0.227454,0.197058,SP_1
0.695178,0.026764,0.279793,0.987549,0.982893,0.01075,0.10151,0.067457,SP_1
0.855858,0.058748,0.53023,0.911092,0.671896,0.147007,0.408193,0.48529,SP_7
0.682134,0.01234,0.696288,0.891961,0.232967,0.104485,0.16082,0.247812,SP_6
0.826367,0.040773,0.464561,0.869392,0.698442,0.060525,0.178872,0.401914,SP_7
0.72113,0.030708,0.32963,0.986487,0.900242,0.009047,0.33879,0.466504,SP_13
0.798011,0.041389,0.400806,0.97199,0.883994,0.015761,0.190675,0.145579,SP_1
0.232433,0.003505,0.034078,0.973033,0.950461,0.051373,0.607995,0.522272,SP_26
0.843222,0.060622,0.504788,0.885757,0.58468,0.158851,0.414337,0.256465,SP_22
0.59669,0.019455,0.205797,0.98511,0.943125,0.012423,0.394774,0.5294,SP_13
0.495151,0.013155,0.342036,0.836818,0.554967,0.221708,0.570889,0.555827,SP_10
0.99772,0.036911,0.959155,0.85104,0.084605,0.087382,0.21059,0.200799,SP_34
0.999334,0.036911,0.988355,0.921534,0.030721,0.098537,0.079865,0.106762,SP_34
0.99966,0.036911,0.99146,0.921534,0.020725,0.168288,0.134469,0.098019,SP_34
0.636844,0.025575,0.268661,0.959214,0.874461,0.066386,0.050115,0.062218,SP_24
0.605821,0.021962,0.23344,0.972501,0.926454,0.027637,0.612725,0.706471,SP_33
0.637648,0.026642,0.270051,0.959067,0.88861,0.048753,0.043319,0.046934,SP_24
0.9004,0.085529,0.598278,0.96066,0.615304,0.086077,0.552982,0.872474,SP_35
0.845207,0.040862,0.614977,0.921534,0.312912,0.244492,0.525213,0.458785,SP_5
0.800336,0.036553,0.584587,0.913604,0.310578,0.234351,0.615594,0.538892,SP_5
0.995996,0.036911,0.947082,0.944196,0.156625,0.024912,0.189858,0.194813,SP_34
0.537176,0.016278,0.151702,0.976106,0.950673,0.025261,0.26279,0.31233,SP_26
0.391462,0.010664,0.208803,0.883114,0.492465,0.081862,0.519096,0.612862,SP_30
0.821263,0.047329,0.425678,0.993135,0.873811,0.009378,0.399867,0.584302,SP_2
0.716739,0.028504,0.334802,0.911788,0.744531,0.156594,0.846734,0.566826,SP_25
1,0.036911,1,0.921534,0.010012,0.097167,0.059314,0.067303,SP_34
0.916155,0.08636,0.612492,0.937804,0.636925,0.035465,0.270317,0.239368,SP_12
0.89574,0.091034,0.662292,0.910411,0.430658,0.102969,0.418718,0.454168,SP_12
0.599208,0.020392,0.206975,0.985405,0.983047,0.013207,0.212349,0.304659,SP_13
0.146002,0.005241,0.117231,0.91359,0.581589,0.050889,0.695063,0.948998,SP_30
0.550787,0.013721,0.116875,0.990067,0.92789,0.028534,0.114679,0.271352,SP_27
0.892472,0.080493,0.582934,0.984697,0.68726,0.019704,0.540209,0.679099,SP_35
0.414176,0.00838,0.073115,0.970456,0.812461,0.03073,0.325087,0.330629,SP_26
0.91839,0.067405,0.65204,0.913604,0.356258,0.179336,0.467249,0.466149,SP_5
0.489831,0.005795,0.633045,0.891961,0.101379,0.124751,0.187178,0.216648,SP_11
0.902737,0.082057,0.613205,0.937056,0.554043,0.040009,0.417814,0.597889,SP_14
0.854281,0.06116,0.500779,0.979779,0.678988,0.001719,0.234346,0.224347,SP_32
0.215308,0.004923,0.543815,0.891961,0.227781,0.104485,0.488332,0.786719,SP_15
0.593764,0.017192,0.212375,0.954071,0.88929,0.032255,0.129995,0.272845,SP_4
0.789969,0.038034,0.359866,0.997404,0.911424,0.009168,0.254969,0.333858,SP_27
0.92616,0.097142,0.636304,0.979504,0.667023,0.013751,0.228275,0.293643,SP_2
0.861041,0.068603,0.541827,0.981058,0.73476,0.037516,0.773803,0.905478,SP_28
0.705818,0.029133,0.288154,0.98212,0.939099,0.025346,0.328644,0.169174,SP_13
0.445266,0.011097,0.711965,0.891961,0.168911,0.124751,0.189539,0.221866,SP_6
0.592304,0.017634,0.210388,0.952668,0.893644,0.02997,0.179176,0.318416,SP_4
0.545909,0.019261,0.296683,0.887075,0.725975,0.086577,0.395946,0.302241,SP_9
0.44741,0.003888,0.431672,0.913604,0.26931,0.104485,0.560703,0.73719,SP_15
0.612076,0.006529,0.314646,0.858206,0.676792,0.121561,0.512299,0.379519,SP_3
0.479033,0.015052,0.256027,0.850607,0.714395,0.163388,0.476263,0.427199,SP_9
0.568436,0.013138,0.265519,0.89691,0.721372,0.109198,0.258837,0.08028,SP_23
0.903667,0.078008,0.589975,0.945514,0.6196,0.032125,0.686129,0.662912,SP_14
0.554053,0.021213,0.22371,0.961663,0.84338,0.040707,0.706866,0.828601,SP_33
0.873322,0.042223,0.607598,0.913604,0.360388,0.226251,0.343783,0.369222,SP_5
0.982873,0.036911,0.857422,0.923287,0.311579,0.190307,0.334708,0.32736,SP_8
0.708397,0.025891,0.278428,0.967583,0.953885,0.019792,0.065253,0.032491,SP_1
0.578758,0.013171,0.469271,0.816302,0.511942,0.104485,0.235373,0.127033,SP_23
0.23207,0.005884,0.193808,0.922068,0.797252,0.094094,0.734271,0.659998,SP_10
0.802248,0.052252,0.438791,0.946068,0.684066,0.118891,0.045333,0.042986,SP_29
0.310606,0.004459,0.682895,0.891961,0.096481,0.124751,0.225227,0.288063,SP_11
0.903463,0.084003,0.60162,0.957493,0.620818,0.025547,0.443966,0.610177,SP_14
0.595034,0.026548,0.271895,0.924743,0.835031,0.074448,0.16664,0.257331,SP_24
0.64786,0.021355,0.193164,0.980467,0.952774,0.015955,0.519717,0.608689,SP_13
0.877277,0.063095,0.499983,0.986982,0.775138,0.007239,0.235806,0.282568,SP_2
0.750489,0.036414,0.312382,0.979232,0.891633,0.021797,0.472818,0.495342,SP_33
0.836439,0.05842,0.485388,0.949094,0.680591,0.115306,0.046618,0.061668,SP_29
0.614493,0.021102,0.211607,0.984351,0.942606,0.018082,0.420389,0.529913,SP_13
0.545657,0.016557,0.177128,0.975123,0.846383,0.052575,0.253529,0.287306,SP_26
0.988124,0.036911,0.895745,0.946793,0.245111,0.096157,0.217033,0.224568,SP_8
0.778127,0.035793,0.350969,0.966699,0.923274,0.041024,0.27832,0.526131,SP_27
0.883695,0.08716,0.588392,0.958315,0.618407,0.102761,0.618131,0.615173,SP_35
0.5498,0.012134,0.369607,0.89931,0.603159,0.097167,0.167619,0.105663,SP_23
0.280775,0.004132,0.677911,0.891961,0.08054,0.124751,0.337537,0.296759,SP_11
0.998732,0.036911,0.979638,0.891901,0.066224,0.124492,0.090344,0.062237,SP_31
0.863302,0.053113,0.591325,0.915494,0.335455,0.169044,0.498761,0.511456,SP_5
0.6984,0.029787,0.302951,0.984815,0.917195,0.012352,0.351199,0.432712,SP_13
0.59998,0.025605,0.293745,0.930998,0.805395,0.088575,0.379131,0.468749,SP_24
0.86942,0.069165,0.536793,0.978551,0.71879,0.002913,0.210635,0.193049,SP_32
0.466409,0.013476,0.138201,0.978933,0.957411,0.038418,0.28022,0.461423,SP_24
0.995293,0.036911,0.947783,0.881154,0.151329,0.092078,0.16909,0.126234,SP_31
0.619795,0.021951,0.24286,0.983104,0.939406,0.020566,0.426585,0.631444,SP_13
0.907399,0.091163,0.625623,0.933398,0.591631,0.047034,0.610016,0.641369,SP_35
0.575026,0.008502,0.441735,0.846063,0.478548,0.104485,0.173783,0.07518,SP_23
0.468553,0.013515,0.148597,0.959657,0.960079,0.019322,0.307181,0.541846,SP_4
0.371153,0.01092,0.103137,0.978973,0.967735,0.038138,0.279856,0.221791,SP_24
0.996132,0.036911,0.949615,0.793033,0.104252,0.116239,0.129352,0.138781,SP_34
